problem,algorithm,noise_pct,trial,batch,igd_estimated
DTLZ2_5obj,EGBO,10,6,10,0.51799269091649
DTLZ2_5obj,EGBO,10,6,11,0.48213858385870645
DTLZ2_5obj,EGBO,10,7,0,0.9438098211668864
DTLZ2_5obj,EGBO,10,7,1,0.8505746283666744
DTLZ2_5obj,EGBO,10,7,2,0.8505746283666744
DTLZ2_5obj,EGBO,10,7,3,0.83656296057082
DTLZ2_5obj,EGBO,10,7,4,0.83656296057082
DTLZ2_5obj,EGBO,10,7,5,0.6833831453347345
DTLZ2_5obj,EGBO,10,7,6,0.667206199392031
DTLZ2_5obj,EGBO,10,7,7,0.6451803486080763
DTLZ2_5obj,EGBO,10,7,8,0.6278211028586711
DTLZ2_5obj,EGBO,10,7,9,0.5199119497177579
DTLZ2_5obj,EGBO,10,7,10,0.4719049105834432
DTLZ2_5obj,EGBO,10,7,11,0.4719049105834432
DTLZ2_5obj,EGBO,10,8,0,0.9613781237486121
DTLZ2_5obj,EGBO,10,8,1,0.8174890654542576
DTLZ2_5obj,EGBO,10,8,2,0.7638794409342587
DTLZ2_5obj,EGBO,10,8,3,0.7576648935197314
DTLZ2_5obj,EGBO,10,8,4,0.7478590998693042
DTLZ2_5obj,EGBO,10,8,5,0.6938197179512345
DTLZ2_5obj,EGBO,10,8,6,0.685936071920014
DTLZ2_5obj,EGBO,10,8,7,0.6693118335897297
DTLZ2_5obj,EGBO,10,8,8,0.6010590485228198
DTLZ2_5obj,EGBO,10,8,9,0.5535187704736962
DTLZ2_5obj,EGBO,10,8,10,0.5160471181212016
DTLZ2_5obj,EGBO,10,8,11,0.48068906187430605
DTLZ2_5obj,EGBO,10,9,0,0.8925965303208108
DTLZ2_5obj,EGBO,10,9,1,0.7802940798931469
DTLZ2_5obj,EGBO,10,9,2,0.6452115071476978
DTLZ2_5obj,EGBO,10,9,3,0.616641491688148
DTLZ2_5obj,EGBO,10,9,4,0.5167806837182685
DTLZ2_5obj,EGBO,10,9,5,0.5167677292437148
DTLZ2_5obj,EGBO,10,9,6,0.5165234716772118
DTLZ2_5obj,EGBO,10,9,7,0.516495621209773
DTLZ2_5obj,EGBO,10,9,8,0.516495621209773
DTLZ2_5obj,EGBO,10,9,9,0.516495621209773
